RecordTime,Battery(V),Rate,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13
41021.375,10.5,Normal,37.69,47.64,40.47,57.96,42.55,,47.44,29.08,50.34,59.17,56.76,60.38,59.87,
41021.41667,10.5,Normal,39.67,48.74,43.75,58.06,44.95,,47.74,34.91,51.74,59.37,56.66,60.88,62.09,
41021.45833,10.5,Normal,49.54,48.54,52.54,57.06,46.54,,48.14,36.2,52.74,59.47,57.76,61.39,61.69,
41021.5,10.6,Normal,52.54,48.74,53.74,59.37,47.94,,48.64,34.81,53.44,60.28,57.36,61.49,62.7,
41021.54167,10.6,Normal,50.64,48.64,54.05,59.98,49.44,,49.04,38.58,54.25,60.38,58.16,61.89,62.39,
41021.58333,10.6,Normal,50.84,49.74,52.54,56.86,50.14,,49.54,39.57,54.65,59.47,56.96,62.09,61.18,
41021.625,10.6,Normal,54.05,50.24,55.45,57.76,48.94,,49.84,37.39,54.65,59.87,58.26,62.09,62.29,
41021.66667,10.6,Normal,45.34,48.44,47.84,60.98,47.74,,50.54,35.7,53.34,59.27,56.15,61.89,62.39,
41021.70833,10.6,Normal,42.16,47.74,42.46,56.76,44.35,56.35,49.74,35.21,52.04,59.27,55.95,61.69,61.49,
41021.75,10.6,Normal,49.74,45.14,50.54,56.15,43.35,,49.54,32.73,52.24,58.57,55.75,61.18,60.18,
41021.79167,10.6,Normal,47.94,45.34,50.84,57.56,42.16,49.84,49.14,28.69,51.54,56.76,53.94,60.48,59.27,
41021.875,10.6,Normal,44.65,41.36,47.24,53.14,40.27,50.04,47.64,26.82,50.04,58.06,51.34,59.57,57.76,
41021.91667,10.6,Normal,45.74,39.97,48.44,54.95,39.37,,47.14,23.57,49.74,56.86,53.24,59.27,59.87,
41021.95833,10.5,Normal,35.11,44.65,40.27,57.26,38.88,80.87,47.14,23.96,49.84,57.96,54.65,59.57,60.58,
41022,10.4,Normal,41.96,39.87,43.65,56.45,37.49,,46.34,25.54,48.14,56.76,53.74,58.87,59.37,
41022.04167,10.5,Normal,38.98,40.27,41.76,55.85,39.67,,46.34,21.41,49.14,58.06,54.55,59.37,58.57,
41022.08333,10.5,Normal,41.26,41.06,44.25,57.26,43.45,72.11,46.54,22.1,49.94,59.17,55.15,59.67,59.57,
41022.125,10.4,Normal,44.95,41.96,46.74,58.77,43.85,,46.04,23.67,49.44,58.47,54.95,59.67,59.47,
41022.16667,10.4,Normal,49.64,44.75,50.44,57.76,42.95,52.74,46.54,21.12,50.74,57.36,53.64,59.57,59.67,
41022.20833,10.4,Normal,48.54,45.04,52.44,57.06,43.45,,46.64,20.72,50.24,56.86,54.25,59.77,58.87,
41022.25,10.4,Normal,43.35,45.64,47.74,56.35,43.25,48.44,46.84,19.06,49.54,58.16,54.55,59.47,59.17,
